DM+DF-p,DM+DF-r,DM+DF-f
0.909090909,0.555555556,0.689655172
0.971428571,0.68,0.8
0.928571429,0.928571429,0.928571429
1,0.875,0.933333333
0.975903614,0.826530612,0.895027624
0.902140673,0.867647059,0.884557721
0.942028986,0.8125,0.872483221
1,0.617021277,0.763157895
0.965517241,0.861538462,0.910569106
1,0.628571429,0.771929825
1,1,1
1,0.5,0.666666667
0.931372549,0.887850467,0.909090909
0.833333333,0.789473684,0.810810811
0.979166667,0.652777778,0.783333333
0.88,0.916666667,0.897959184
0.543859649,1,0.704545455
0.476190476,0.857142857,0.612244898
0.368421053,0.933333333,0.528301887
0.322580645,1,0.487804878
0.942028986,0.870535714,0.90487239
0.949152542,0.871595331,0.90872211
0.870646766,0.841346154,0.855745721
0.966292135,0.86,0.91005291
1,0.842105263,0.914285714
0.833333333,1,0.909090909
1,0.8,0.888888889
1,0.916666667,0.956521739
1,0.886255924,0.939698492
0.991596639,0.797297297,0.883895131
0.986111111,0.78021978,0.871165644
0.987341772,0.78,0.87150838
1,0.738636364,0.849673203
0.872340426,0.931818182,0.901098901
0.955882353,0.722222222,0.82278481
0.863636364,0.88372093,0.873563218
