,LogisticRegression(max_iter=3000),RandomForestClassifier(),DecisionTreeClassifier(),AdaBoostClassifier(),SVC(kernel='linear')
0,1.0,1.0,0.941,0.944,1.0
1,0.923,0.925,0.94,0.935,0.922
2,0.917,0.929,0.382,0.609,0.8
3,1.0,1.0,0.8,1.0,1.0
4,0.945,0.926,0.878,0.888,0.935
5,0.896,0.907,0.886,0.899,0.894
6,0.574,0.907,0.769,0.87,0.869
7,0.97,0.979,0.951,0.955,0.956
8,0.921,0.87,0.869,0.852,0.905
9,1.0,0.957,0.636,0.857,0.923
10,1.0,1.0,0.75,1.0,1.0
11,0.556,1.0,1.0,1.0,0.303
12,0.86,0.969,0.946,0.95,0.907
13,1.0,1.0,0.692,0.95,0.905
14,1.0,1.0,0.843,0.977,0.98
15,1.0,1.0,0.786,1.0,1.0
16,1.0,0.967,0.903,1.0,1.0
17,0.9,0.967,0.408,0.698,0.833
18,0.929,1.0,0.867,1.0,1.0
19,1.0,1.0,0.667,1.0,1.0
20,0.967,0.961,0.945,0.944,0.982
21,0.952,0.963,0.93,0.914,0.964
22,0.862,0.919,0.912,0.901,0.842
23,0.952,0.958,0.874,0.896,0.979
24,0.925,0.927,0.829,0.949,0.864
25,0.625,0.625,0.455,0.625,0.455
26,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0
28,0.989,0.985,0.918,0.957,0.995
29,0.962,0.962,0.638,0.874,0.949
30,0.949,0.967,0.889,0.874,0.906
31,0.966,0.988,0.91,0.946,0.957
32,1.0,0.986,0.967,0.987,0.986
33,0.917,0.915,0.741,0.827,0.88
34,0.973,1.0,0.899,0.974,0.962
35,0.932,0.864,0.833,0.755,0.891
